7bitconf,7bitConf,7bitConf::7bitConf
tl-optional,tl-optional,tl::optional
tlx,tlx,tlx
tmx,tmx,tmx
tng,tng_io,tng_io::tng_io
toml11,toml11,toml11::toml11
tomlplusplus,tomlplusplus,tomlplusplus::tomlplusplus
tracy,Tracy,Tracy::TracyClient
trantor,Trantor,Trantor::Trantor
troldal-zippy,Zippy,Zippy::Zippy
trompeloeil,trompeloeil,trompeloeil::trompeloeil
tsl-array-hash,tsl-array-hash,tsl::array_hash
tsl-hat-trie,tsl-hat-trie,tsl::hat_trie
tsl-hopscotch-map,tsl-hopscotch-map,tsl::hopscotch_map
tsl-ordered-map,tsl-ordered-map,tsl::ordered_map
tsl-robin-map,tsl-robin-map,tsl::robin_map
tsl-sparse-map,tsl-sparse-map,tsl::sparse_map
tuplet,tuplet,tuplet::tuplet
tweenerspp,tweeners,tweeners::tweeners
tweeny,tweeny,tweeny
ulfius,Ulfius,
uni-algo,uni-algo,uni-algo::uni-algo
units,units,units::units
unleash-client-cpp,unleash,unleash::unleash
unordered_dense,unordered_dense,unordered_dense::unordered_dense
uriparser,uriparser,uriparser::uriparser
utfcpp,utf8cpp,utf8cpp
util-linux-libuuid,libuuid,libuuid::libuuid
valijson,,ValiJSON::valijson
variant-lite,variant-lite,nonstd::variant-lite
vc,Vc,Vc::Vc
velodyne_decoder,velodyne_decoder,velodyne_decoder::velodyne_decoder
vigra,Vigra,vigraimpex
vir-simd,vir-simd,vir-simd::vir-simd
volk,volk,
vorbis,Vorbis,
vsg,vsg,vsg::vsg
vulkan-headers,VulkanHeaders,
vulkan-loader,VulkanLoader,Vulkan::Loader
wavelet_buffer,wavelet_buffer,wavelet_buffer::wavelet_buffer
websocketpp,websocketpp,websocketpp::websocketpp
wg21-linear_algebra,wg21_linear_algebra,wg21_linear_algebra::wg21_linear_algebra
wil,wil,WIL::WIL
wildmidi,WildMidi,WildMidi::libwildmidi
wise_enum,WiseEnum,WiseEnum::wise_enum
wslay,wslay,
wt,wt,
wxwidgets,wxWidgets,wxWidgets::wxWidgets
xapian-core,xapian,
xbyak,xbyak,xbyak::xbyak
xerces-c,XercesC,XercesC::XercesC
xlnt,Xlnt,xlnt::xlnt
xlsxio,xlsxio,
xproperty,xproperty,xproperty
xsimd,xsimd,xsimd
xtensor,xtensor,xtensor
xtl,xtl,xtl
xxhash,xxHash,xxHash::xxhash
xxsds-sdsl-lite,sdsl-lite,sdsl-lite::sdsl-lite
xz_utils,LibLZMA,LibLZMA::LibLZMA
yaclib,yaclib,yaclib
yaml-cpp,yaml-cpp,yaml-cpp::yaml-cpp
yandex-ozo,ozo,yandex::ozo
ydcpp-tcpcat,,ydcpp-tcpcat
yder,Yder,
yomm2,YOMM2,YOMM2::yomm2
yyjson,yyjson,yyjson::yyjson
z3,Z3,z3::libz3
zeromq,ZeroMQ,
zeus_expected,,zeus::expected
zfp,zfp,zfp::cfp
zint,Zint,
zlib,ZLIB,ZLIB::ZLIB
zlib-ng,ZLIB,ZLIB::ZLIB
zopfli,Zopfli,
zserio,,zserio::ZserioCppRuntime
zstd,zstd,
zxing-cpp,ZXing,ZXing::ZXing
zyre,zyre,
